feature,importance
built_up_pct,0.1612431295373189
industrial_feature_count_5km,0.10773023918403127
distance_to_industry_m,0.09881657945711139
bare_sparse_pct,0.08442655223109978
persistence_score,0.07413042891982813
grassland_pct,0.07121054601873875
industrial_proximity_score,0.07112526320892983
detections_30d,0.06088879313449283
frp,0.06075968377605653
active_days_30d,0.05745290534317688
shrubland_pct,0.0493354965171209
cropland_pct,0.04370322559976943
tree_cover_pct,0.017712475636271006
confidence_available,0.015779919634188136
water_pct,0.01429559549774859
industry_distance_available,0.008360916155997426
confidence_score,0.0019474931832237023
is_daytime,0.001080756964896576
daynight_available,0.0
wetland_pct,0.0
mangrove_pct,0.0
