candidate_id,event_name,event_start_utc,official_address,source_note,facility_latitude,facility_longitude,geocode_display_name,geocode_query,geocode_provider,geocode_score,geocode_address_type,incident_firms_rows,nearby_3km_rows,strict_postfire_rows,strongest_latitude,strongest_longitude,strongest_distance_m,strongest_frp_mw,strongest_source,strongest_satellite,strongest_acquisition_utc,strongest_hours_after_incident,prefire_detections_30d,prefire_active_days_30d,status
BIF-01,AksharChem India Indrad VS Plant Fire,2024-05-02T11:00:00+00:00,"166-169 Village Indrad, Chhatral Kadi Road, Mehsana, Gujarat 382715, India",Company disclosure: 02-May-2024 around 16:30 IST,21.1997784,72.8323446,Akshardham,AksharChem Indrad Gujarat India,ARCGIS,93.25,POI,0,0,0,,,,,,,,,,,REJECT_NO_FIRMS
BIF-02,Gopal Snacks Rajkot Metoda Plant Fire,2024-12-11T09:15:00+00:00,"Plot No G2322-23-24, GIDC Metoda, Taluka Lodhika, Rajkot, Gujarat 360021, India",Company disclosure: 11-Dec-2024 around 14:45 IST,,,,,,,,0,0,0,,,,,,,,,,,REVIEW_LOCATION
BIF-03,Solara Active Pharma Puducherry Facility Fire,2023-11-04T16:00:00+00:00,"Mathur Road, Periyakalapet, Puducherry 605014, India",Company disclosure: 04-Nov-2023 around 21:30 IST,12.038495612295,79.85079820482,"Madhur Road, Ganapathichettykulam, Puducherry, 605014","Mathur Road, Periyakalapet, Puducherry 605014, India",ARCGIS,79.21,StreetName,0,0,0,,,,,,,,,,,REJECT_NO_FIRMS
BIF-04,Chembond Chemicals Tarapur Plant Fire,2022-04-21T04:00:00+00:00,"Plot E-6/3 and E-6/4, MIDC Tarapur, Boisar, Palghar, Maharashtra 401506, India",Company disclosure: 21-Apr-2022 around 09:30 IST,19.807963296682,72.746016724383,"6 Boisar Tarapur Road, Salwad, Boisar Rural, Palghar, Maharashtra, 401501",Plot E-6/4 MIDC Tarapur Boisar Maharashtra India,ARCGIS,82.65,PointAddress,1,1,0,,,,,,,,,,,REJECT_NO_STRICT_POSTFIRE
BIF-05,Sundaram Brake Linings Kariapatti Plant I Fire,2026-04-10T16:25:00+00:00,"TSK Plant 1, Kanjamanaickenpatti, Mustakurichi Post, Virudhunagar District, Tamil Nadu 626106, India",Company disclosure: 10-Apr-2026 around 21:55 IST,,,,,,,,0,0,0,,,,,,,,,,,REVIEW_LOCATION
